WAR,,,,,,,,,,,,,,,,,,,,,,,,,,S,,-,,-,,-,,--        --        --,,,,,,,,,**,,**,,,*,WARFIGHTING SYMBOLS
WAR.SPC,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,P,,*,,--        --        --,,,,,,,,,**,,**,,,*,SPACE TRACK
WAR.SPC.SAT,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,P,,*,,S-       --        --,,,,,,,,,**,,**,,,*,SATELLITE
WAR.SPC.CSV,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,P,,*,,V-      --        --,,,,,,,,,**,,**,,,*,CREWED SPACE VEHICLE
WAR.SPC.SST,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,P,,*,,T-       --        --,,,,,,,,,**,,**,,,*,SPACE STATION
WAR.SPC.SLV,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,P,,*,,L-       --        --,,,,,,,,,**,,**,,,*,SPACE LAUNCH VEHICLE
WAR.AIRTRK,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,--        --        --,,,,,,,,,**,,**,,,*,AIR TRACK
WAR.AIRTRK.MIL,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,M-      --        --,,,,,,,,,**,,**,,,*,MILITARY
WAR.AIRTRK.MIL.FIXD,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     --        --,,,,,,,,,**,,**,,,*,FIXED WING
WAR.AIRTRK.MIL.FIXD.BMB,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     B-      --,,,,,,,,,**,,**,,,*,BOMBER
WAR.AIRTRK.MIL.FIXD.FTR,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     F-       --,,,,,,,,,**,,**,,,*,FIGHTER
WAR.AIRTRK.MIL.FIXD.FTR.INCR,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     FI       --,,,,,,,,,**,,**,,,*,INTERCEPTOR
WAR.AIRTRK.MIL.FIXD.TNE,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     T-       --,,,,,,,,,**,,**,,,*,TRAINER
WAR.AIRTRK.MIL.FIXD.ATK,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     A-      --,,,,,,,,,**,,**,,,*,ATTACK/STRIKE
WAR.AIRTRK.MIL.FIXD.VSTOL,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     L-       --,,,,,,,,,**,,**,,,*,V/STOL
WAR.AIRTRK.MIL.FIXD.TNK,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     K-      --,,,,,,,,,**,,**,,,*,TANKER
WAR.AIRTRK.MIL.FIXD.TNK.BOOM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     KB     --,,,,,,,,,**,,**,,,*,TANKER BOOM-ONLY
WAR.AIRTRK.MIL.FIXD.TNK.DROG,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     KD     --,,,,,,,,,**,,**,,,*,TANKER DROGUE-ONLY
WAR.AIRTRK.MIL.FIXD.CGOALT,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     C-      --,,,,,,,,,**,,**,,,*,CARGO AIRLIFT (TRANSPORT)
WAR.AIRTRK.MIL.FIXD.CGOALT.LIT,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     CL     --,,,,,,,,,**,,**,,,*,CARGO AIRLIFT (LIGHT)
WAR.AIRTRK.MIL.FIXD.CGOALT.MDM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     CM    --,,,,,,,,,**,,**,,,*,CARGO AIRLIFT (MEDIUM)
WAR.AIRTRK.MIL.FIXD.CGOALT.HVY,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     CH     --,,,,,,,,,**,,**,,,*,CARGO AIRLIFT (HEAVY)
WAR.AIRTRK.MIL.FIXD.ECM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     J-        --,,,,,,,,,**,,**,,,*,ELECTRONIC COUNTERMEASURES (ECM/JAMMER)
WAR.AIRTRK.MIL.FIXD.MEDV,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     O-      --,,,,,,,,,**,,**,,,*,MEDICAL EVACUATION (MEDEVAC)
WAR.AIRTRK.MIL.FIXD.RECON,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     R-      --,,,,,,,,,**,,**,,,*,RECONNAISSANCE
WAR.AIRTRK.MIL.FIXD.RECON.ABNEW,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     RW    --,,,,,,,,,**,,**,,,*,AIRBORNE EARLY WARNING (AEW)
WAR.AIRTRK.MIL.FIXD.RECON.ESM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     RZ     --,,,,,,,,,**,,**,,,*,ELECTRONIC SURVEILLANCE MEASURES
WAR.AIRTRK.MIL.FIXD.RECON.PHG,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     RX     --,,,,,,,,,**,,**,,,*,PHOTOGRAPHIC
WAR.AIRTRK.MIL.FIXD.PAT,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     P-       --,,,,,,,,,**,,**,,,*,PATROL
WAR.AIRTRK.MIL.FIXD.PAT.ASUW,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     PN     --,,,,,,,,,**,,**,,,*,ANTISURFACE WARFARE (ASUW)
WAR.AIRTRK.MIL.FIXD.PAT.MNECM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     PM     --,,,,,,,,,**,,**,,,*,MINE COUNTERMEASURES
WAR.AIRTRK.MIL.FIXD.UTY,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     U-      --,,,,,,,,,**,,**,,,*,UTILITY
WAR.AIRTRK.MIL.FIXD.UTY.LIT,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     UL     --,,,,,,,,,**,,**,,,*,UTILITY (LIGHT)
WAR.AIRTRK.MIL.FIXD.UTY.MDM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     UM    --,,,,,,,,,**,,**,,,*,UTILITY (MEDIUM)
WAR.AIRTRK.MIL.FIXD.UTY.HVY,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     UH     --,,,,,,,,,**,,**,,,*,UTILITY (HEAVY)
WAR.AIRTRK.MIL.FIXD.COMM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     Y-      --,,,,,,,,,**,,**,,,*,COMMUNICATIONS
WAR.AIRTRK.MIL.FIXD.CSAR,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     H-      --,,,,,,,,,**,,**,,,*,COMBAT SEARCH AND RESCUE (CSAR)
WAR.AIRTRK.MIL.FIXD.ABNCP,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     D-      --,,,,,,,,,**,,**,,,*,AIRBORNE COMMAND POST (C2)
WAR.AIRTRK.MIL.FIXD.DRN,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     Q-      --,,,,,,,,,**,,**,,,*,DRONE (RPV/UA)
WAR.AIRTRK.MIL.FIXD.DRN.ATK,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QA     --,,,,,,,,,**,,**,,,*,ATTACK
WAR.AIRTRK.MIL.FIXD.DRN.BMB,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QB     --,,,,,,,,,**,,**,,,*,BOMBER
WAR.AIRTRK.MIL.FIXD.DRN.CGO,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QC     --,,,,,,,,,**,,**,,,*,CARGO
WAR.AIRTRK.MIL.FIXD.DRN.ABNCP,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QD     --,,,,,,,,,**,,**,,,*,AIRBORNE COMMAND POST
WAR.AIRTRK.MIL.FIXD.DRN.FTR,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QF     --,,,,,,,,,**,,**,,,*,FIGHTER
WAR.AIRTRK.MIL.FIXD.DRN.CSAR,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QH     --,,,,,,,,,**,,**,,,*,SEARCH & RESCUE (CSAR)
WAR.AIRTRK.MIL.FIXD.DRN.ECM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QJ      --,,,,,,,,,**,,**,,,*,ELECTRONIC COUNTERMEASURES (JAMMER)
WAR.AIRTRK.MIL.FIXD.DRN.TNK,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QK     --,,,,,,,,,**,,**,,,*,TANKER
WAR.AIRTRK.MIL.FIXD.DRN.VSTOL,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QL     --,,,,,,,,,**,,**,,,*,V/STOL
WAR.AIRTRK.MIL.FIXD.DRN.SOF,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QM    --,,,,,,,,,**,,**,,,*,SPECIAL OPERATIONS FORCES (SOF)
WAR.AIRTRK.MIL.FIXD.DRN.MNECM,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QI      --,,,,,,,,,**,,**,,,*,MINE COUNTERMEASURES
WAR.AIRTRK.MIL.FIXD.DRN.ASUW,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QN     --,,,,,,,,,**,,**,,,*,ANTISURFACE WARFARE (ASUW)
WAR.AIRTRK.MIL.FIXD.DRN.PAT,,,,,,,,,,,,,,,,,,,,,,,,,,S,,*,,A,,*,,MF     QP     --,,,,,,,,,**,,**,,,*,PATROL
